text,label
"One of the most expensive apps I have ever seen or tried. Everything costs money. Subscription? Check. Paid themes? Check. I mean, I spent a fortune on apps, and I am in favor of continuous support, but still. Losing my lifetime savings is just not okay. Reminds me of the app Newton Mail where they went from free to Oh My God This Is Expensive. IMO users would sub way more if the options were affordable. Sorry for 2/5 but if an app is inaccessible due to prices, I can't say that it's an ok app",negative
Message me to book your piercing appointment now !,neutral
One lane stop and go trafffffffic suckssss! Almost to wwork thanks to **** miinnnesota roads,negative
"I was so pleased with the new Habit tracker as well as using a true Dark Mode. However, I don't agree with the Premium policy as I prefer to make a bigger one-time payment (such as when I bought Final Cut Pro X with Apple) instead of a small recurring subscription that makes me want to go back to Todoist. It's a damn shame as I liked TickTick so much I'm willing to pay for Premium. Unfortunately, the subscription policy is an easy deal breaker.",positive
Nite nite my fellow tweeters goin to put ma ipod in n listen to some westlife missin those guys  then headin to sleep early start  7am x,neutral
  dull life was on the soundtrack of one of my favourite showss,neutral
Phenomenal,positive
Me just sign up Twitter...,neutral
Love the app but it crashes often and then your trees don't grow,negative
 Indeed I did get your song however am unable to listen.,neutral
Font too small,neutral
"Really amazing, but there are pop-up adverts if you're not a member, and for someone like me that's quite a few adverts daily. Very annoying!, But everything else is PERFECT. FYI The designers have to eat so I'm not mad but God damn that's annoying Would be really cool if you could at least watch a bunch of adverts at once so you don't have to do it later. Just an idea id be up for.",neutral
I have been trying to download the app but its just not happening. Please look into it.,negative
 LOLL im a college girl...bahahah i love these blogs they`re so funny!,positive
With the short period of time I've used this app I have enjoyed it. The app has been a great tool to help my keep track of my 2018 goals and stay on top of new habits I am trying to create to better myself and future. it has a clean UI although i wish it had more theme options. This app has been great at motivation on days o have slacked off or days I messed up with its visual aid on my progress for 2019. I would recommend it to someone trying to create a better habits.,positive
"Okay better than others but the design should be material! Some features are to pay, less than the competitor but still i cant use fully for that",neutral
Please get rid of all the white space. I have to scroll to read my lists. Give us an option to zoom out or reskin this app to look like wunderlist. Thanks.,negative
Can not cancel my membership,negative
"_donut ah good deal, hope you find some new music",positive
 Joe`s version is pretty but it`s a sleeper.  Shouldn`t be played at 1am.,neutral
"Calendar setting are changing from one day to another, has to reset them everyday. Plus widget settings is separated from the app setting which is somehow cumbersome.",negative
 Ayy.  Okayyy. It was nice seeing you kanina ! :> I like your hair. :>,positive
" WOMAN, I didn`t know you came home  you so suck!!! When are you going back!",negative
"sure miss Chick, tho...may he RIP!",negative
"Hi, I just purchased the pro version for this app but it seems to be crashing.",negative
 ill buy you one,neutral
 got it i`ll send you an email in a lil bit i have a lot to say,neutral
Great App gets my day well organized. But I can't easily search for items in the list. I have to scan through all items one after the other. Takes time,positive
Omg! My dad called me a johny come lately haha because I`m slow  haha,neutral
Today was fun  I <3 meeting boardies! The acoustic set was just soo phenomenal!,positive
Nice application,positive
Circus was fun - I don`t have any hope of getting out of the parking lot - haven`t moved in 10 min,neutral
Restoring new iTouch 2.  Excited to use it. Yeeeeeeeee. Goodbye iTouch 1.,positive
Sent Twitterville 1.2 off to Apple for review  More screenshots etc will be released later this week.,neutral
"I just installed this gem of an app this morning, and love its ease of use. However, there is a minor problem...the date in big numbers on the left is one day behind the monthly calendar.",positive
"I hate: midgets! Smfh! Had a dream I was fightin 1 LN in Boston Market, turbull! He kept head bunting me",negative
"I like using this app, helps me write when I most need it and has helped me 
use it whenever i can't explain or Express myself. So thank you 🌿❤",positive
looking forward to the finale of the RACE next week! Missing my castle girls though... Any and all Race fans welcome to watch chez moi...,neutral
now we are also on twitter  follow us to know the latest!,neutral
Well done,neutral
 Good Luck!!!  keep rockin!,positive
"really effective app. best widget of all the habit tracking apps I've tried. But the widget can be a little glitchy and I wish there were a compact version. some of the UX leaves a little to be desired. I'd love to see some small improvements espec to widgets, but still definitely worth using. premium paid user.",positive
ATL to NJ....almost home,neutral
I cant watch anythgin till tonight,neutral
Happy Monday tweeples... hope it wasn`t to hard to get out of bed and back in gear!,neutral
 jip i have a good one,positive
Headed back to Pulaski,neutral
Going to learn the hoedown throwdown today.,neutral
"Nooo, I`m not in love.  I`m just developing a crush. A small one. Heehee.  My second one. Shadduppp.",neutral
so I slept in a little...well a lot. whooops,neutral
friends romans and country men lol ppl need 2 help me out and say i have twitter i dont have any friends   loner loner la da da,negative
 Okay will work on that too but please remind me again,positive
" actually, I wish I was back in Tahoe.  I miss it there.",negative
"New update to the widget makes it so I can no longer get into the full app by tapping on the widget, I actually have to go into my list of apps or create a whole other shortcut. You tout a fully operational widget but I can't rearrange my list entries via the widget, only the full app menu (and it was already a pain to rearrange my tasks in the first place, I really really wish there was an option to add new tasks to the top of the list rather than the bottom.) I will be trying out new to-do list apps now.",negative
 Aww that sucks   It wasn`t that long though but Dianne was SO cute as usual <3 Hopeflly some1 mite put it on youtube :S,neutral
Tucking myself in tonight  Mogwai on repeat,neutral
" I use an external track ball with my laptop. Again, seems excessive, but is totally more efficient.",positive
  know. hahah xD what cha doin?,neutral
nooooooo  sue is retiring  no no no no!,negative
I dont feel well  i got a dentist appointment later.,negative
Full screen ads you can't skip every time you add or edit an event !!!,negative
 Aw not again!  Feel better soon bb!,neutral
"I like that this app notifies you for tasks, but it should respect Android system's Do not Disturb!! I shouldn't be reminded when I sleeping and I explicitly turn off notifications (no other app I have notifies me in Do not Disturb mode)",neutral
This app is easy to use but my biggest issue is that when i add notes or check off tasks when off line they dont save,neutral
"This is a good app BUT The list i shared with my friend did not sync. When i completed some of the task, i click complete but my friend still view it as not complete.",neutral
hook up with Rian van Staden on Twitter. He is a (much) better cook and may have some more concrete suggestions,positive
going to look at a bunch of open homes today. just to get a feel for the market. i think i`ve got a lot of saving to do...,neutral
"installed, looked like what I was looking for, loved the design. but the app makes me use the standard alarms and calander of my phone to put every bit of planning in, and I HATE the calendar on my phone, thats why I came here... to bad",negative
is stressin h-core. and is supposed to be cleaning her room. and feels like ****.,negative
"Elegant design. This app is easy to use and only takes seconds. Unlike other apps that distract you with details, blog posts, etc (I'm looking at you, myfitnesspal), I can easily track my habits in seconds without going down the internet rabbit hole **edited to add that I'm still using it weeks later. Very simple. Although I started off ambitious and added many habits, I ended up following the developers suggestion and paring back to two key habits. I'll add more after these stick",positive
Busy.. Busy.. Busy.. :S Wont be on Ning for few days.,neutral
This app has most features for a free habit tracker and even the onetime payment is the cheapest in this category. The habit tracker of choice.,positive
"  And to you too, how are you today?",neutral
I`m in French and we don`t have a teacher.  One hour left til school ends.,negative
changed my picture on my profile in friendster,neutral
NKU - I can get that app after all!,neutral
"Download it because I love that it has a weekly, monthly and daily goal views, also lists and water intake goals but it doesn't have push notifications and it seems like I can't cross off events, only goals or tasks and that's a huge deal at least for me so it would be great if you guys can make that happen",neutral
"'I`ll see you again yeah?' 'Its up to you' 'I guarantee you will, i dont want to wait to long not seeing you' **** fruit basket! Hahaha",positive
I really like this app and ised to love it until there was an update that was stopping me from using it without upgrading. If i had to pay a one time purchase thats one thing but an annual fee?? Give me a break. $5 for a planner app is reasonable if you use it all of the time but not every year. Yall are greedy.,positive
"The xp system and character sheet are a good way to motivate you to finish tasks, although yes, you can cheat and give infinite xp but you're only cheating yourself.",positive
Would agree that it isnt very user friendly. Functions seem complicated and too basic at the same time,negative
I really want to be a star...Hope Flawless will work,positive
"_illustrated Me Too! Its hard to argue w/ him `cause he makes some great points, i just can`t wrap my heart around that one",neutral
Need to explore more,neutral
"""95% of our features are free"" this is not true, almost every feature I try to use takes me to the premium option. Just started trying this app, even setting the color to the task is not free.",negative
_0 so all done with wow blogging eh?  *huggles*,neutral
"The app is pretty good and has good features. However, when I shared a grocery list with my fiance it wouldn't let him accept and it it sent him TONS of emails regarding it. Literally 1 every few minutes for hours and I have no clue how to stop this without him just unsubscribing. Given that sharing is a big part of why I wanted the app, it does put a damper on things for me.",neutral
 I do NOT. I RARELY dye it at all.  the red was the first in aaaagggessss. My hair just hates me.,negative
i hate feeling like this about him  i need a break away from everyone... as soon as exams are over i`m defo off to portsmouth for a bit,negative
Im sad right now becuz of my lady,negative
My tummy hurts  go away cramps! I hate chuu!!!!,negative
http://snipurl.com/hbp3g  Canalway Cavalcade over in `little venice` near Warwick Avenue - on today too,neutral
on the way to nanny  school starts tomorrow! one step closer to being a teacher!,neutral
 Thanks lady!!,positive
"Wanna know a not fun way to wake up? Having a panic attack and not being able to breath for no **** reason, that **** sucked",negative
oh dear! gareths b-day 2moro all my girlfriends are abroad  lucky niamh is coming home 2moro poor gareth has 2 listen 2 me talk all day,neutral
Waste of time. Unhelpful and unmotivating.,negative
Why are money problems so bad these days,negative
for the whole time ?,neutral
" but if you got hit by a car, who would make such lovely music?",neutral
Friday Night and working,neutral
On my way to school not feeln this rainy day at all.... But I had lots of FUN this weekend  ....,neutral
Doesn't support Fossil sport watch anymore?,positive
happy that Google Wave is trending.  Can`t watch the video for it... certain flash videos are blocked by my company`s network.,positive
 whens the sway sway winner announced?,neutral
 I clicked on the Check out pictures of Angelina and it went to a spam site about ordering checks .. go figure,neutral
resting had a whole day of walking,neutral
"A great app overall. Complete and specific in terms of types of goals. User interface aspects like fonts and some screens like the first ""create habit"" screen seem a little heterogeneous when compared to the rest of the app; in other words, they seem displaced, out of vibe. I suggest a review of the UI; maybe making it a little less cluttery and cleaner. For example, the google fit prompts and font correlation. It is a great work nevertheless, congratulations!",positive
"Recent addition of VERY intrusive full-screen video ads has crossed a line. At first I thought my phone had been hacked! I totally understand need for revenue for a great free app, but this is too much. I'm going elsewhere very soon without a change!",negative
 yes  lol,neutral
"Calling all mothers, calling all mothers...get your butts to bed - the kids`ll be here tomorrow",neutral
 last week  and I interviewed  and we told him you are the FB queen! Glad to see you both connected,positive
" It felt nice, but staying outside for too long and your definitely getting burned! Hurricane season is here though",negative
" but better hurry, so you wouldn`t be labeled as copycats",positive
 That`s not too bad.  Good luck!,positive
So far I really like it. when will the stickers and tablet features be ready?,positive
Dï¿½jï¿½ vu!!! Changing out of my GQ outfit,neutral
 LMAO! I don`t fake being Paris anymore. Look at my bio ;) and by the way I can`t log onto your forum...,negative
Tag meee,positive
 I been following.... LOL.. just dont be paying attention to little ol Mylan,neutral
 hi I`m ok   still not feeling great,negative
" Thank a Chu?t ï¿½  Ch?c v?y quï¿½, hik, ch?c em ph?i ?i h?c 1 khï¿½a ph? c?p ki?n th?c c? khï¿½ g?p =.=",positive
is going home after an awesome time with the peeps,positive
Lost at bowling again  why do i suck,negative
"Just Saw Confessions Of A Shopoholic...Totally fell in love with Hugh Dancy`s accent!! :3 Need $20.00 for tomorrow, new top i want!!",positive
don`t feel good,negative
"http://twitpic.com/675t7 - Square B - she is sad because she wasn`t there and now she`s, well, square  (crocheted bee with poly fibe ...",negative
 hahahaha definitely!  still writing?,neutral
"ssshhh everybody, I think  is asleep... don`t disturb him.",negative
and to james`s we go!,neutral
 been there  sucks like hell.,negative
" Well, at least you wont be late!",negative
Have difficulty trying to set multiple appts for the same time on different days... Too complicated! Just want to input what days of the week i want the appt for.,positive
i keep reading contracts as cataracts... Someone should bring me panera,neutral
"Okay, the app is good I even got the bro version. But its missing a serious things. Like for an instance there is no way to change the break time or even knowing the long break times. I cant delete a pomodoro that I made unless I did a data clear which is unfair for all the other pomodoro I did. Pls fix this",negative
 haha  Thanks!,positive
"_bbA Ooh, nice  Well I guess not nice at the moment, being windy and rainy. But I like rain",positive
"New chic just texted me saying 'Thanks for the e-mail' but didn`t answer to my question, might need to look for newer chic now",neutral
" haha that was good, slightly geeky but funny  x",positive
Craziier are off of msn!,neutral
 It`s lying,neutral
Njoying sunday  plce and learning abt more in joomla,positive
" Thanks so much my dear Damali - prayers worked, as I am much better, God willing!  Rested! Lots!  xoxo",positive
"'Your gonna miss this, Your gonna want this back, Your gonna wish these days hadn`t gone by so fast'  So true I already miss this year",negative
"#BSNL, Stupid net went down.. Been without email for a whole day",negative
good morning twiggas and twitches  http://bbltwt.com/sciif getcha motivation on,positive
Really interesting apps!,positive
" that made me laugh.  Sorry Grets, but you are not going to the Pool Room.",neutral
I`m going to go check out DJ Volt.,neutral
 yeah those are better ads  It makes them look part of your content rather than blatant adverts ;),positive
Kyles going out of town this weekend  play time wif my fwiends. Rawrrr.,positive
"I miss Wunderlist. The functionality is so different now, and the transition was really bad. And I definitely didn't want a Microsoft account.",negative
"good app, but not what im looking for. i'd like to be able to check items off my routine as i complete them, but i cannot do that. i do like that there are a variety of tags to choose from, and that i can create my own tags. i also like that you can clone a routine over several days.",positive
 where are ya headin to for your family vaca? i hope the paparazzi leave you alone,neutral
 your making me jealous now  I want one! How long have u guys been married?,negative
" Luke M here, thanks Ps Chris! Ur husband is pretty cool I reckon! Sorry u were feeling sick and hope you feel better soon!",neutral
The horoscopes website I use has all changed around  I like it!,positive
Re-pinging _B: Is it pathetic that I .... Or am I just pathetic ?   naw you a cutie,neutral
_gd whoaa kinda hard :O that one that you think will be interesting enough to tell,neutral
" yeah, totally unfair.  we should just. FLAME THEM EVERYWHERE",negative
 i can still read `em...,neutral
@_shannon1234 Shannie im so sorry! didnt mean to upset you! i just thought you would find it cute  im sorry dont be sad!,negative
lovin` my new blackberry,positive
not a lonely day after all.,neutral
 I need them  It would`ve made my picture so much cooler. Mine are bottle green. Eeyea-thooo!,positive
Gossip girl & pizza on the way = thank you to my lil babe,positive
"it is a very nice way to look at your schedule. It also helps you determine productivity, whether you are scheduling efficiently and are you allowing yourself some downtime. It can use some improvements and I believe that they will happen.",positive
 I still have another hour.,neutral
I deleted the app but it is still charging my PayPal account. No one is responding to my messages at customer service. Please stop charging my account.,negative
"_eliza ohhhh that makes sense then. 8D and i need to reread the lotr trilogy, i lost the three books a long time ago and i`m sad.",negative
" Awww, that`s nice.  You both make a really beautiful couple, you balance each other.",positive
Got tired of the kitchen being uninhabital so swept and mopped the floor when its dry I`ll do the work tops,negative
I can`t believe how fast this week has gone by,neutral
 my mom wants to lay. We`ll be there later. Probably a little after 10. And  I`m sorry you`re sick,negative
 _online That`s the sad thing about it.,negative
I hate my arrival in the employee parking lot!,negative
@criticalpath Such an awesome idea - the  continual learning program with a Kindle2  http://bit.ly/1ZLfF,positive
forgot the montel quote  and it was a good one..,neutral
Eating pringles at nearly 1 AM really reminds me  of touring with the Jonas Brothers (don`t ask).......I miss that so much....,negative
Ate too much vegetarian pizza for dinner! But it was so good,negative
 Sure thing!,neutral
"I love Habitica and I like the UI of the updated app, but I find it frustrating that the app doesn't show all the content that the website does. Normally this is just a small annoyance--but now, after paying for a Group plan for my family, I'm discovering that my kids can't access the group tasks list via the app! Which makes the entire thing a waste of money since the whole point was to be able to create tasks for family chores. Please tell me a fix is in the works!",neutral
Haha. Lacey just shutdown the livestream. Party time,neutral
Somebody please save the polar bears!,positive
" Amazing! The concert, the city, everything. It was really an awesome trip",positive
"Yay, I won at the  Bags #Giveaway from . And those bags are so pretty!! Or maybe I`ll have a belt? We`ll see!",positive
 OK! Oops sorry,negative
 I know! I`m so slow its horrible. DON`T TELL ON ME!,negative
its almost lunch time for you,neutral
" super but I caught a cold on the plane.  not as far forward in line as I`d like, but the extra sleep was dearly needed.",neutral
RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu,neutral
Up late with nothin 2 do.....,neutral
"It used to be a slick, minimal app that did what it needed to. Then they kept adding layers of unneeded features and forced people to make an account just to use it. No thanks.",negative
"A decent app for its intents and purposes but I struggle to stay invested. It's visually good, great icons and colours, also has a nice selection of skills. My biggest issue is the navigation. I can't immediately see or twirl down to see subtasks. Actually marking something as done, especially subtasks is a challenge - mostly because you face to keep tapping through the task and pages of info to get there. Perhaps a mind map or something would make it easier.",neutral
"Really great app, fast and snappy like a to-do app should be like so you don't miss any thoughts, my biggest issue with this app is that there is no one time pay to buy option for it, while I find it useful I don't need a lot of the pro features, I am a basic user and need it just to track my personal tasks, as such the monthly payment subscription for the Pro version does not make sense to me, why not add a basic pro model, with limited features, that users can outright buy forever.",positive
my sole supporter is not my sole supporter,neutral
I don`t seem to have any photos of me and my Grandma together for tomorrow. It is heart breaking,negative
Heavenly Donuts at 11:30 at night...sounds like a heavenly match to me.  SIYAL8R,neutral
" ohh yes. I`ve rented one and thought the same; very roomy. But hubby wont go for it.  welp, congrats on the new baby",neutral
Hate subscription uninstalled,negative
Need to improve it.... Multiple tasks cannot be copied into a list... User interface looks good..,neutral
" this is 5 hours late, but i never managaed to sleep properly. i think david tweeting me back earlier is the reason. ahaha",neutral
"says new layout! Back to default Plurk themes, yay. Pero dumugo ilong ko kaka-tweak sa font ha.  http://plurk.com/p/rprmr",neutral
"It was decent at first, but it stops working completely when I wanted to put a custom time reminder, and it did not sync with my Google calendar. I ended up deleting it :/",negative
I was kinda looking forward to seeing Seann William Scott in the office today,neutral
BYEEEEE!!!,neutral
 thanks! I love a good bargain.,positive
I`ve already been cleaning for over an hour!!! So much more http://twitpic.com/67gzx,neutral
"'No offense, but your hair is bad today.' Life isn`t worth living anymore   Nothing hurts quite like hair insults. *cries into pillow*",negative
is highly amused I wasn`t treated nicely like any other patient..not my fault my life is better than yours.,positive
Real tress can be planted using paid version of the app... So why should I download this free fake version?,negative
  Ah bad times   I hate exams. I feel so unprepared this time as well. Sucks haha.,negative
"Sitting in mels house, just finished eating mcdicks, laughing at all the dumb stuff I said tonight!! Ready for bed? I think so",positive
Listening to Obama... Friggin North Korea...,negative
Sweet! When are they going to be publicly available?,positive
_pax goddamn   that **** sucks *hugs*,negative
It's helping me a lot to deal with my anxiety ♡♡,positive
after pub lunch am now going to daughters for tea life is good,positive
Going to bed in a bit. Need to revise 2moro.,neutral
and dont tell burnsy - but no comparison between the rocky mountains and mountains in enlgland,neutral
 im a lady and ladies don`t move couches. they direct where the couches go,neutral
 Im so very sad that i am at work today and cant win tickets,negative
The reason I am giving this 1 star is because of its unreliability! I purchased this app for my android phone and my Mac desktop. It is very frustrating that the same app on my Mac IS NOT updating with my phone!!! This app is absolutely useless to me when I cannot see events that I have put in in real time even after I refreshing the app. Very disappointing! And kinda pissed off that I paid good money for this app!,negative
 me too  chrome`s popup blocker is better,neutral
I love this app. What I liked is the alarm feature for individual list items.,positive
I love the idea but it's not working on my Samsung S10e. Like the main screen is just purple when I first open and then the features for designing my character didn't show any options. I'll happily try again once bugs are worked out. Keep us posted!,negative
Photovia secondstar05) i dreamt i was doing spells from harry potter yesterday night lol  i loved it. http://tumblr.com/xyt1qynya,positive
" ?. Pick up that, as fast you can!",neutral
Cant see my character,negative
Ensure you read the comments re: payment. Every critical comment is true and this app just isn't worth what you're charged. I recommend you beware.,negative
"Oh, yes... Happy NINE year annivarsary to Hanson`s second studio album, 'This Time Around.'",positive
"Okay, now I`m listening to Jonathan Coulton and working. Woo.",neutral
 yep.  working on the post now,neutral
watching the original sabrina the teenage witch movie. so different from the series but so rad,positive
  there will be a session of #MoMoTLV at #iva09,neutral
playing with Java and the Twitter API,neutral
 yeah its goin to vmail now.. I CALLED it while i was in the store.. no luck,negative
 Oh gosh I hope so. How fun!,positive
So tired   Last group of the day is performing now.. It`s been an interesting one.,positive
"Why tick tick for windows is available for 15 days...we can use free version of tick tick on Android, but on windows there is time period. You should allow to use free version of tick tick on windows also without 15 days trial. Really bad experience with Tick tick..😏",negative
my new dress looks sort of...horrible   http://twitpic.com/64mdc,negative
" dude, saw your Twitter profile after a long time - love the background. way way cool!",positive
"Terrible, Wunderlist worked well, nothing seems to work now, transitioning was not easy, I had to set up an account I don't want and don't need. I am not happy, Microsoft has not done well with making things user-friendly for some time now, I wouldn't be surprised if they don't start stealing everyone's information and using it without ""consent"" like apple does. Oh wait, I can't tell the difference between any of these companies now, and I am pretty sure they all do that and don't care! GFY!",negative
Superb concept. But not able to sync outlook calendar with app. Rather it's picking events from local mobile (oppo) calendar. Want to sync outlook & gmail calendars. Please help,positive
" errr ok, most people have their espressos in the morning, ice latte at noon and warm latte in the evening!",neutral
This app is perfect for making my list and helping me stay on task to complete them.,positive
was great but the last update stop synking the outlook account... try to re-connect it but no luck...,neutral
 hehe...nice try,positive
